List-ID,image_score,n_ratings,Strassenname,Name
35,2.5294117647058822,17,Am_Steinernen_Stock_60320,Am_Steinernen_Stock_60320.jpeg
36,3.4705882352941178,17,Rabenkopfweg_65931,Rabenkopfweg_65931.jpeg
37,2.8333333333333335,12,Blauenstrasse_60528,Blauenstrasse_60528.jpeg
38,3.4210526315789473,19,Schellingstrasse_60316,Schellingstrasse_60316.jpeg
39,3.076923076923077,13,Ohmstrasse_60486,Ohmstrasse_60486.jpeg
40,2.888888888888889,18,Donnersbergstrasse_60528,Donnersbergstrasse_60528.jpeg
41,3.2941176470588234,17,Kreutzerstrasse_60318,Kreutzerstrasse_60318.jpeg
42,2.2222222222222223,9,Rossittener_Strasse_60487,Rossittener_Strasse_60487.jpeg
43,3.1,10,Rostocker_Strasse_60323,Rostocker_Strasse_60323.jpeg
44,3.357142857142857,14,Legienstrasse_65929,Legienstrasse_65929.jpeg
45,3.1176470588235294,17,In_der_Beginenklause_60599,In_der_Beginenklause_60599.jpeg
46,3.5,12,Guenthersburgallee_60389,Guenthersburgallee_60389.jpeg
47,3.2142857142857144,14,Jugenheimer_Strasse_60528,Jugenheimer_Strasse_60528.jpeg
48,3.727272727272727,11,Anzengruberstrasse_60320,Anzengruberstrasse_60320.jpeg
49,3.1538461538461537,13,Salmuensterer_Strasse_60386,Salmuensterer_Strasse_60386.jpeg
50,3.6666666666666665,15,Bachstelzenweg_65929,Bachstelzenweg_65929.jpeg
51,3.3333333333333335,15,Neue_Schlesingergasse_60311,Neue_Schlesingergasse_60311.jpeg
52,2.5833333333333335,24,Friedberger_Anlage_60314,Friedberger_Anlage_60314.jpeg
53,3.533333333333333,15,Sandaeckerstrasse_65933,Sandaeckerstrasse_65933.jpeg
54,2.3636363636363638,11,Rhonestrasse_60528,Rhonestrasse_60528.jpeg
55,3.411764705882353,17,Kleine_Nelkenstrasse_60488,Kleine_Nelkenstrasse_60488.jpeg
56,1.8,15,Chlodwig-Poth-Anlage_65936,Chlodwig-Poth-Anlage_65936.jpeg
57,3.3846153846153846,13,Kurmainzer_Strasse_65929,Kurmainzer_Strasse_65929.jpeg
58,3.4210526315789473,19,Neue_Mainzer_Strasse_60313,Neue_Mainzer_Strasse_60313.jpeg
59,3.6,20,Hermesweg_60316,Hermesweg_60316.jpeg
60,3.4375,16,Hildburghaeuser_Weg_65931,Hildburghaeuser_Weg_65931.jpeg
61,2.2,15,Zum_Eiskeller_60529,Zum_Eiskeller_60529.jpeg
62,3.272727272727273,11,Hesselbergweg_65931,Hesselbergweg_65931.jpeg
63,3.111111111111111,9,Preungesheimer_Strasse_60389,Preungesheimer_Strasse_60389.jpeg
64,3.5,20,Mainzer_Landstrasse_60325,Mainzer_Landstrasse_60325.jpeg
65,3.7058823529411766,17,Heylstrasse_60431,Heylstrasse_60431.jpeg
66,4.117647058823529,17,Hugo-Wolf-Strasse_60529,Hugo-Wolf-Strasse_60529.jpeg
67,3.5294117647058822,17,Krummauer_Strasse_60388,Krummauer_Strasse_60388.jpeg
68,3.5789473684210527,19,Walter-Kolb-Strasse_60594,Walter-Kolb-Strasse_60594.jpeg
69,3.8421052631578947,19,Hostatostrasse_65929,Hostatostrasse_65929.jpeg
70,4.0,15,Stiftstrasse_60313,Stiftstrasse_60313.jpeg
71,3.142857142857143,21,Selma-Lagerloef-Strasse_60431,Selma-Lagerloef-Strasse_60431.jpeg
72,2.75,16,Bruderhofstrasse_60388,Bruderhofstrasse_60388.jpeg
73,3.272727272727273,11,Berner_Strasse_60437,Berner_Strasse_60437.jpeg
74,1.5,16,August-Laubenheimer-Strasse_65929,August-Laubenheimer-Strasse_65929.jpeg
75,3.6875,16,Neuhofstrasse_60318,Neuhofstrasse_60318.jpeg
76,3.875,16,Launitzstrasse_60594,Launitzstrasse_60594.jpeg
77,2.0833333333333335,12,Wallfahrtsweg_60389,Wallfahrtsweg_60389.jpeg
78,3.2,10,Neugasse_60437,Neugasse_60437.jpeg
79,3.4761904761904763,21,Dottenfeldstrasse_65936,Dottenfeldstrasse_65936.jpeg
80,4.1,20,Rangenbergstrasse_60388,Rangenbergstrasse_60388.jpeg
81,3.0833333333333335,12,Golub-Lebedenko-Platz_60326,Golub-Lebedenko-Platz_60326.jpeg
82,3.1666666666666665,12,Schichaustrasse_60314,Schichaustrasse_60314.jpeg
83,3.111111111111111,18,Rotlintstrasse_60389,Rotlintstrasse_60389.jpeg
84,3.588235294117647,17,Hanauer_Landstrasse_60314,Hanauer_Landstrasse_60314.jpeg
85,3.2857142857142856,7,Biebergasse_60313,Biebergasse_60313.jpeg
86,3.375,24,Jahnstrasse_60318,Jahnstrasse_60318.jpeg
87,2.5833333333333335,12,Brueningstrasse_65929,Brueningstrasse_65929.jpeg
88,2.533333333333333,15,Roemerstadtsteg_60439,Roemerstadtsteg_60439.jpeg
89,3.176470588235294,17,Radilostrasse_60489,Radilostrasse_60489.jpeg
90,3.857142857142857,14,Am_Buchbaum_60437,Am_Buchbaum_60437.jpeg
91,2.0625,16,Am_Riederbruch_60386,Am_Riederbruch_60386.jpeg
92,3.3684210526315788,19,Eysseneckstrasse_60322,Eysseneckstrasse_60322.jpeg
93,2.3076923076923075,13,Erlenbacher_Stadtweg_60437,Erlenbacher_Stadtweg_60437.jpeg
94,3.727272727272727,11,Tarnowitzer_Strasse_65933,Tarnowitzer_Strasse_65933.jpeg
95,3.1578947368421053,19,Propst-Goebels-Weg_60389,Propst-Goebels-Weg_60389.jpeg
96,2.857142857142857,21,Wittelsbacherallee_60385,Wittelsbacherallee_60385.jpeg
97,3.769230769230769,13,Soemmerringstrasse_60322,Soemmerringstrasse_60322.jpeg
98,4.0,12,Ludwigstrasse_60327,Ludwigstrasse_60327.jpeg
99,2.875,16,Schalkwiesenweg_60488,Schalkwiesenweg_60488.jpeg
100,2.8125,16,Aussiger_Strasse_60598,Aussiger_Strasse_60598.jpeg
101,2.9047619047619047,21,Polizeimeister-Kaspar-Strasse_60320,Polizeimeister-Kaspar-Strasse_60320.jpeg
102,2.8421052631578947,19,Schwarzwaldstrasse_60528,Schwarzwaldstrasse_60528.jpeg
103,3.4,15,Hoechster_Schlossplatz_65929,Hoechster_Schlossplatz_65929.jpeg
104,3.0714285714285716,14,Am_Lohwald_60488,Am_Lohwald_60488.jpeg
105,2.0,16,Jakob-Quirin-Weg_60437,Jakob-Quirin-Weg_60437.jpeg
106,3.3125,16,Wirschelweg_60437,Wirschelweg_60437.jpeg
107,2.9285714285714284,14,Georg-Voigt-Strasse_60325,Georg-Voigt-Strasse_60325.jpeg
108,3.5555555555555554,18,Licher_Strasse_60389,Licher_Strasse_60389.jpeg
109,3.3125,16,Herbert-Boehm-Strasse_60528,Herbert-Boehm-Strasse_60528.jpeg
110,3.272727272727273,11,Haendelstrasse_60318,Haendelstrasse_60318.jpeg
111,2.8823529411764706,17,Corneliusstrasse_60325,Corneliusstrasse_60325.jpeg
112,2.7142857142857144,14,Moenchhofstrasse_60326,Moenchhofstrasse_60326.jpeg
113,3.533333333333333,15,Rotteckstrasse_60316,Rotteckstrasse_60316.jpeg
114,2.090909090909091,11,Kamelienstrasse_65929,Kamelienstrasse_65929.jpeg
115,3.3846153846153846,13,Elsheimerstrasse_60322,Elsheimerstrasse_60322.jpeg
116,2.8947368421052633,19,Amtsgasse_65929,Amtsgasse_65929.jpeg
117,4.266666666666667,15,Beselerstrasse_60385,Beselerstrasse_60385.jpeg
118,3.590909090909091,22,Bornheimer_Landwehr_60385,Bornheimer_Landwehr_60385.jpeg
119,3.8461538461538463,13,Herbert-von-Meister-Strasse_65931,Herbert-von-Meister-Strasse_65931.jpeg
120,3.8,15,Martin-Luther-Strasse_60316,Martin-Luther-Strasse_60316.jpeg
121,3.611111111111111,18,Casparistrasse_60435,Casparistrasse_60435.jpeg
122,3.25,20,Galvanistrasse_60486,Galvanistrasse_60486.jpeg
123,2.4375,16,Westendstrasse_60325,Westendstrasse_60325.jpeg
124,3.6363636363636362,11,An_der_Pfaffenmauer_60388,An_der_Pfaffenmauer_60388.jpeg
125,3.8461538461538463,13,Melanchthonplatz_60599,Melanchthonplatz_60599.jpeg
126,3.4285714285714284,14,Einbaumstrasse_65933,Einbaumstrasse_65933.jpeg
127,3.4,15,Herriotstrasse_60528,Herriotstrasse_60528.jpeg
128,1.8,15,Am_Galgenberg_60389,Am_Galgenberg_60389.jpeg
129,3.3333333333333335,21,Bornweidstrasse_60388,Bornweidstrasse_60388.jpeg
130,3.1333333333333333,15,Platz_der_vergessenen_Kinder_60596,Platz_der_vergessenen_Kinder_60596.jpeg
131,3.8,15,Carlo-Schmid-Platz_60325,Carlo-Schmid-Platz_60325.jpeg
132,3.888888888888889,9,Liederbacher_Strasse_65929,Liederbacher_Strasse_65929.jpeg
133,2.8421052631578947,19,Egestrasse_60488,Egestrasse_60488.jpeg
134,3.5384615384615383,13,Franz-Simon-Strasse_65934,Franz-Simon-Strasse_65934.jpeg
135,3.6470588235294117,17,Neuer_Wall_60594,Neuer_Wall_60594.jpeg
136,3.4545454545454546,22,Hammersbacher_Weg_60388,Hammersbacher_Weg_60388.jpeg
137,4.0,10,Blankenheimer_Strasse_60529,Blankenheimer_Strasse_60529.jpeg
138,1.6153846153846154,13,Am_Martinszehnten_60437,Am_Martinszehnten_60437.jpeg
139,3.0,14,Azaleenweg_60433,Azaleenweg_60433.jpeg
140,3.2,10,Hans-Thoma-Strasse_60596,Hans-Thoma-Strasse_60596.jpeg
141,3.857142857142857,14,An_der_Wolfsweide_60435,An_der_Wolfsweide_60435.jpeg
142,3.8947368421052633,19,Hannah-Arendt-Strasse_60438,Hannah-Arendt-Strasse_60438.jpeg
143,4.071428571428571,14,Briandring_60598,Briandring_60598.jpeg
144,3.466666666666667,15,Alt-Roedelheim_60489,Alt-Roedelheim_60489.jpeg
145,3.5,8,Rauschenberger_Strasse_60433,Rauschenberger_Strasse_60433.jpeg
146,3.4166666666666665,12,Breslauer_Strasse_60598,Breslauer_Strasse_60598.jpeg
147,1.9285714285714286,14,Stralsunder_Strasse_60323,Stralsunder_Strasse_60323.jpeg
148,2.727272727272727,11,Pfungststrasse_60314,Pfungststrasse_60314.jpeg
149,3.6666666666666665,12,Altkoenigstrasse_60323,Altkoenigstrasse_60323.jpeg
150,3.8636363636363638,22,Quirinsstrasse_60599,Quirinsstrasse_60599.jpeg
151,3.6,15,Justinianstrasse_60322,Justinianstrasse_60322.jpeg
152,3.076923076923077,13,Georg-Speyer-Strasse_60487,Georg-Speyer-Strasse_60487.jpeg
153,3.111111111111111,18,Nachtigallenweg_65929,Nachtigallenweg_65929.jpeg
154,3.3333333333333335,15,Karl-Albert-Strasse_60385,Karl-Albert-Strasse_60385.jpeg
155,2.090909090909091,11,Am_Muehlkanal_60599,Am_Muehlkanal_60599.jpeg
156,3.7058823529411766,17,Amoeneburger_Strasse_60433,Amoeneburger_Strasse_60433.jpeg
157,3.619047619047619,21,Humperdinckstrasse_60598,Humperdinckstrasse_60598.jpeg
158,3.611111111111111,18,Roedelheimer_Strasse_60487,Roedelheimer_Strasse_60487.jpeg
159,3.6,10,Aystettstrasse_60322,Aystettstrasse_60322.jpeg
160,3.8333333333333335,12,Am_Wasserturm_60435,Am_Wasserturm_60435.jpeg
161,3.1538461538461537,13,Lindenstrasse_60325,Lindenstrasse_60325.jpeg
162,3.2666666666666666,15,Unter_den_Linden_60596,Unter_den_Linden_60596.jpeg
163,2.6875,16,Jakob-Latscha-Strasse_60314,Jakob-Latscha-Strasse_60314.jpeg
164,3.3636363636363638,11,Sindlinger_Strasse_60326,Sindlinger_Strasse_60326.jpeg
165,3.0,14,Leuchte_60388,Leuchte_60388.jpeg
166,3.4615384615384617,13,Habichtsweg_60437,Habichtsweg_60437.jpeg
167,2.7222222222222223,18,Adolf-Miersch-Strasse_60528,Adolf-Miersch-Strasse_60528.jpeg
168,3.9375,16,Am_Treutengraben_60488,Am_Treutengraben_60488.jpeg
169,2.2142857142857144,14,Caecilienstrasse_60433,Caecilienstrasse_60433.jpeg
170,2.1176470588235294,17,Emser_Strasse_60486,Emser_Strasse_60486.jpeg
171,2.2941176470588234,17,Am_Oberforsthaus_60528,Am_Oberforsthaus_60528.jpeg
172,2.7857142857142856,14,Niddastrasse_60327,Niddastrasse_60327.jpeg
173,3.8181818181818183,11,Skylineblick_60438,Skylineblick_60438.jpeg
174,1.5384615384615385,26,Grueneburgpark_60323,Grueneburgpark_60323.jpeg
175,2.8823529411764706,17,Miquelallee_60487,Miquelallee_60487.jpeg
176,3.8,15,An_der_Mannsfaust_60599,An_der_Mannsfaust_60599.jpeg
177,3.5555555555555554,18,Welschgrabenstrasse_65931,Welschgrabenstrasse_65931.jpeg
178,2.4166666666666665,12,Juergen-Ponto-Platz_60329,Juergen-Ponto-Platz_60329.jpeg
179,3.35,20,Wilhelm-Koppel-Weg_65934,Wilhelm-Koppel-Weg_65934.jpeg
180,3.4,15,Am_Wetterhahn_60437,Am_Wetterhahn_60437.jpeg
181,3.3333333333333335,18,Theodor-Heuss-Allee_60327,Theodor-Heuss-Allee_60327.jpeg
182,2.9444444444444446,18,Unterer_Atzemer_60316,Unterer_Atzemer_60316.jpeg
183,3.0,14,Johanniskirchplatz_60385,Johanniskirchplatz_60385.jpeg
184,2.9473684210526314,19,Auf_der_Platte_60435,Auf_der_Platte_60435.jpeg
185,3.727272727272727,11,Peter-Henlein-Strasse_60435,Peter-Henlein-Strasse_60435.jpeg
186,3.3125,16,Freudenberger_Strasse_60599,Freudenberger_Strasse_60599.jpeg
187,3.4545454545454546,22,Nussbaumstrasse_60385,Nussbaumstrasse_60385.jpeg
188,3.5,14,Scheerengasse_60599,Scheerengasse_60599.jpeg
189,2.888888888888889,9,Nesselbuschstrasse_60439,Nesselbuschstrasse_60439.jpeg
190,1.8333333333333333,12,Hinter_der_Krebsmuehle_60439,Hinter_der_Krebsmuehle_60439.jpeg
191,2.8,15,Buber-Neumann-Weg_60439,Buber-Neumann-Weg_60439.jpeg
192,2.590909090909091,22,Friedrich-List-Strasse_60386,Friedrich-List-Strasse_60386.jpeg
193,2.25,16,Morsestrasse_60486,Morsestrasse_60486.jpeg
194,3.5,16,Textorstrasse_60596,Textorstrasse_60596.jpeg
195,3.4,10,Hermannspforte_60437,Hermannspforte_60437.jpeg
196,2.4,15,Ampèrestrasse_60486,Ampèrestrasse_60486.jpeg
197,1.5,14,Breitenbachstrasse_60487,Breitenbachstrasse_60487.jpeg
198,3.6666666666666665,12,Herbartstrasse_60316,Herbartstrasse_60316.jpeg
199,1.875,8,Dreieichstrasse_60594,Dreieichstrasse_60594.jpeg
200,3.466666666666667,15,Franz-Kafka-Strasse_60431,Franz-Kafka-Strasse_60431.jpeg
201,3.3846153846153846,13,Mierendorffstrasse_60320,Mierendorffstrasse_60320.jpeg
202,3.888888888888889,9,Ebereschenweg_60433,Ebereschenweg_60433.jpeg
203,3.1578947368421053,19,Schrimpegasse_60529,Schrimpegasse_60529.jpeg
204,3.857142857142857,14,Westerbachstrasse_65936,Westerbachstrasse_65936.jpeg
205,3.8181818181818183,11,Howaldtstrasse_60314,Howaldtstrasse_60314.jpeg
206,3.1666666666666665,12,Bachforellenweg_60327,Bachforellenweg_60327.jpeg
207,3.5,14,Leerbachstrasse_60322,Leerbachstrasse_60322.jpeg
208,3.3,20,An_der_Wellenburg_60437,An_der_Wellenburg_60437.jpeg
209,2.909090909090909,11,Haeussermannstrasse_65933,Haeussermannstrasse_65933.jpeg
210,3.2857142857142856,14,Goldsteinstrasse_60528,Goldsteinstrasse_60528.jpeg
211,3.3125,16,Bruchfeldstrasse_60528,Bruchfeldstrasse_60528.jpeg
212,4.0,10,An_der_Seehecke_60386,An_der_Seehecke_60386.jpeg
213,3.25,8,Boenstaedter_Strasse_60385,Boenstaedter_Strasse_60385.jpeg
214,3.4285714285714284,7,Schwedenpfad_65934,Schwedenpfad_65934.jpeg
215,2.4210526315789473,19,Guerickestrasse_60488,Guerickestrasse_60488.jpeg
216,3.4545454545454546,11,Schleiermacherstrasse_60316,Schleiermacherstrasse_60316.jpeg
217,2.4444444444444446,18,Leunastrasse_65929,Leunastrasse_65929.jpeg
218,3.3,20,Waldmeisterpfad_65933,Waldmeisterpfad_65933.jpeg
219,2.75,20,Justinuskirchstrasse_65929,Justinuskirchstrasse_65929.jpeg
220,4.076923076923077,13,Landgraben_60388,Landgraben_60388.jpeg
221,1.9230769230769231,13,Landauer_Strasse_65934,Landauer_Strasse_65934.jpeg
222,2.8125,16,Hansenweg_60599,Hansenweg_60599.jpeg
223,3.6363636363636362,11,Hinterm_Hain_60437,Hinterm_Hain_60437.jpeg
224,2.8461538461538463,26,Gellertstrasse_60389,Gellertstrasse_60389.jpeg
225,3.4,15,Koelner_Strasse_60327,Koelner_Strasse_60327.jpeg
226,3.111111111111111,18,Holbeinsteg_60596,Holbeinsteg_60596.jpeg
227,2.923076923076923,13,Ruehlstrasse_60433,Ruehlstrasse_60433.jpeg
228,1.7272727272727273,11,Niederraeder_Ufer_60528,Niederraeder_Ufer_60528.jpeg
229,2.933333333333333,15,Am_Stiegelschlag_60385,Am_Stiegelschlag_60385.jpeg
230,3.5,20,Auerstrasse_65929,Auerstrasse_65929.jpeg
231,3.5714285714285716,21,Am_Dornbusch_60320,Am_Dornbusch_60320.jpeg
232,3.0,16,Heinz-Raspe-Platz_60314,Heinz-Raspe-Platz_60314.jpeg
233,4.066666666666666,15,Rehstrasse_65933,Rehstrasse_65933.jpeg
234,2.4166666666666665,12,Am_Weingarten_60487,Am_Weingarten_60487.jpeg
235,2.5833333333333335,12,Wichernstrasse_60389,Wichernstrasse_60389.jpeg
236,3.1666666666666665,12,Rembrandtstrasse_60596,Rembrandtstrasse_60596.jpeg
237,3.2666666666666666,15,Boerneplatz_60311,Boerneplatz_60311.jpeg
238,3.5625,16,Luciusstrasse_65929,Luciusstrasse_65929.jpeg
239,3.8,15,Glauburgstrasse_60318,Glauburgstrasse_60318.jpeg
240,3.1818181818181817,11,Ernst-May-Platz_60385,Ernst-May-Platz_60385.jpeg
241,3.357142857142857,14,Sophienstrasse_60487,Sophienstrasse_60487.jpeg
242,2.5,16,Paulistrasse_65929,Paulistrasse_65929.jpeg
243,3.4782608695652173,23,Mainzer_Landstrasse_60326,Mainzer_Landstrasse_60326.jpeg
244,3.1666666666666665,12,Goldammerstrasse_60528,Goldammerstrasse_60528.jpeg
245,3.0,18,Friedrich-Wilhelm-von-Steuben-Strasse_60488,Friedrich-Wilhelm-von-Steuben-Strasse_60488.jpeg
246,3.357142857142857,14,Wilhelm-Leuschner-Strasse_60329,Wilhelm-Leuschner-Strasse_60329.jpeg
247,4.0,15,Hausener_Obergasse_60488,Hausener_Obergasse_60488.jpeg
248,3.25,12,Theodor-Stern-Kai_60596,Theodor-Stern-Kai_60596.jpeg
249,3.769230769230769,13,Hainer_Weg_60599,Hainer_Weg_60599.jpeg
250,3.4615384615384617,13,Im_Trieb_60389,Im_Trieb_60389.jpeg
251,3.7,20,Untermainkai_60311,Untermainkai_60311.jpeg
252,3.7,10,Fuellerstrasse_60431,Fuellerstrasse_60431.jpeg
253,2.0,15,Humserstrasse_60320,Humserstrasse_60320.jpeg
254,3.111111111111111,18,Kehreinstrasse_65934,Kehreinstrasse_65934.jpeg
255,2.0714285714285716,14,Honsellbruecke_60314,Honsellbruecke_60314.jpeg
256,2.8947368421052633,19,Droysenstrasse_60385,Droysenstrasse_60385.jpeg
257,3.888888888888889,9,Trajanstrasse_60439,Trajanstrasse_60439.jpeg
258,2.9411764705882355,17,Solmsstrasse_60486,Solmsstrasse_60486.jpeg
259,3.6666666666666665,12,Graefendeichstrasse_60599,Graefendeichstrasse_60599.jpeg
260,3.5555555555555554,9,Buchrainplatz_60599,Buchrainplatz_60599.jpeg
261,3.625,16,Hasselhorstweg_60599,Hasselhorstweg_60599.jpeg
262,2.076923076923077,13,Max-Horkheimer-Strasse_60323,Max-Horkheimer-Strasse_60323.jpeg
263,3.5714285714285716,14,Anspacher_Strasse_60326,Anspacher_Strasse_60326.jpeg
264,3.588235294117647,17,Josbacher_Strasse_60326,Josbacher_Strasse_60326.jpeg
265,3.3,20,Ruesterstrasse_60325,Ruesterstrasse_60325.jpeg
266,3.625,16,Leipziger_Strasse_60487,Leipziger_Strasse_60487.jpeg
267,3.5,18,Grosse_Gallusstrasse_60312,Grosse_Gallusstrasse_60312.jpeg
268,3.3333333333333335,12,Garbenstrasse_60327,Garbenstrasse_60327.jpeg
269,3.1904761904761907,21,Mainkai_60311,Mainkai_60311.jpeg
270,1.8666666666666667,15,Heinrich-Luebke-Strasse_60488,Heinrich-Luebke-Strasse_60488.jpeg
271,3.1176470588235294,17,Grosse_Fischerstrasse_60311,Grosse_Fischerstrasse_60311.jpeg
272,3.6363636363636362,11,Platanenstrasse_65933,Platanenstrasse_65933.jpeg
273,3.5,22,Ziegelei-Allee_60488,Ziegelei-Allee_60488.jpeg
274,3.230769230769231,13,Vogesenstrasse_60529,Vogesenstrasse_60529.jpeg
275,3.75,12,Goethestrasse_60313,Goethestrasse_60313.jpeg
276,3.6666666666666665,12,Grosse_Nelkenstrasse_60488,Grosse_Nelkenstrasse_60488.jpeg
277,3.5789473684210527,19,Feuerbachstrasse_60325,Feuerbachstrasse_60325.jpeg
278,3.3333333333333335,18,Woogstrasse_60431,Woogstrasse_60431.jpeg
279,3.2142857142857144,14,Mitscherlichplatz_60323,Mitscherlichplatz_60323.jpeg
280,3.2857142857142856,21,Battonnstrasse_60311,Battonnstrasse_60311.jpeg
281,3.526315789473684,19,Rossertstrasse_60323,Rossertstrasse_60323.jpeg
282,3.3157894736842106,19,Schwalbacher_Strasse_60326,Schwalbacher_Strasse_60326.jpeg
283,3.7142857142857144,21,Kopernikusstrasse_65929,Kopernikusstrasse_65929.jpeg
284,3.2,15,Zorbachstrasse_60435,Zorbachstrasse_60435.jpeg
285,4.0625,16,Ahornstrasse_65933,Ahornstrasse_65933.jpeg
286,3.6,15,Landgrafenstrasse_60487,Landgrafenstrasse_60487.jpeg
287,3.764705882352941,17,Caecilie-Breckheimer-Platz_60386,Caecilie-Breckheimer-Platz_60386.jpeg
288,2.85,20,Gruene_Strasse_60316,Gruene_Strasse_60316.jpeg
289,3.5384615384615383,13,Albanusstrasse_65929,Albanusstrasse_65929.jpeg
290,2.7142857142857144,14,Kochstrasse_60599,Kochstrasse_60599.jpeg
291,2.375,16,Kobbachstrasse_60433,Kobbachstrasse_60433.jpeg
292,3.4705882352941178,17,Koenigsteiner_Strasse_65929,Koenigsteiner_Strasse_65929.jpeg
293,3.357142857142857,14,Eichendorffstrasse_60320,Eichendorffstrasse_60320.jpeg
294,2.0714285714285716,14,Dorfelder_Strasse_60385,Dorfelder_Strasse_60385.jpeg
295,3.75,4,Kleiner_Hirschgraben_60311,Kleiner_Hirschgraben_60311.jpeg
296,3.5,14,Roederbergweg_60316,Roederbergweg_60316.jpeg
297,2.5714285714285716,14,Mailaender_Strasse_60598,Mailaender_Strasse_60598.jpeg
298,2.8823529411764706,17,Griesheimer_Stadtweg_60327,Griesheimer_Stadtweg_60327.jpeg
299,2.5,16,Jakob-Heller-Strasse_60320,Jakob-Heller-Strasse_60320.jpeg
300,1.736842105263158,19,Leunabruecke_60529,Leunabruecke_60529.jpeg
301,2.6923076923076925,13,Im_Sperber_60388,Im_Sperber_60388.jpeg
302,3.588235294117647,17,Allerheiligenstrasse_60313,Allerheiligenstrasse_60313.jpeg
303,3.3684210526315788,19,Leonhardsgasse_60389,Leonhardsgasse_60389.jpeg
304,3.1538461538461537,13,Johannesallee_65929,Johannesallee_65929.jpeg
305,3.0,13,Kurt-Schumacher-Strasse_60311,Kurt-Schumacher-Strasse_60311.jpeg
306,3.7333333333333334,15,Chattenweg_65929,Chattenweg_65929.jpeg
307,4.0,15,Miltenberger_Strasse_60599,Miltenberger_Strasse_60599.jpeg
308,2.3157894736842106,19,Volgersbrunnenweg_60386,Volgersbrunnenweg_60386.jpeg
309,3.0555555555555554,18,Auf_der_Lindenhoehe_60433,Auf_der_Lindenhoehe_60433.jpeg
310,1.7777777777777777,18,Burgholzer_Platz_60433,Burgholzer_Platz_60433.jpeg
311,3.066666666666667,15,Karl-Gerold-Platz_60594,Karl-Gerold-Platz_60594.jpeg
312,3.8666666666666667,15,Herborner_Strasse_60439,Herborner_Strasse_60439.jpeg
313,3.7857142857142856,14,Liebknechtstrasse_65929,Liebknechtstrasse_65929.jpeg
314,3.45,20,Anemonenpfad_65933,Anemonenpfad_65933.jpeg
315,2.761904761904762,21,Am_Brennhaus_65933,Am_Brennhaus_65933.jpeg
316,3.1333333333333333,15,Bischofsweg_60598,Bischofsweg_60598.jpeg
317,2.823529411764706,17,In_der_Schildwacht_65933,In_der_Schildwacht_65933.jpeg
