Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type,Strassenname,Strassenname_äöü,imagelink,survey
1784,Neue Schlesingergasse,1,Innenstadt,40,1.03,1,Ost,1.0,60311,Neue Schlesingergasse 60311 Frankfurt,50.1129187,8.672259,highway,way,Neue_Schlesingergasse,Neue Schlesingergasse,Neue_Schlesingergasse_60311.jpeg,1
860,Friedberger Anlage,4,Ostend,140,4.26,4,Ost,5.0,60314,Friedberger Anlage 60314 Frankfurt,50.11456875,8.694583068018336,leisure,way,Friedberger_Anlage,Friedberger Anlage,Friedberger_Anlage_60314.jpeg,1
2087,Sandäckerstraße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Sandäckerstraße 65933 Frankfurt,50.0995057,8.5956136,highway,way,Sandaeckerstrasse,Sandaeckerstrasse,Sandaeckerstrasse_65933.jpeg,1
2005,Rhonestraße,5,Niederrad,373,5.36,5B,Sachsenhausen,10.0,60528,Rhonestraße 60528 Frankfurt,50.0799479,8.626438,highway,way,Rhonestrasse,Rhonestrasse,Rhonestrasse_60528.jpeg,1
1435,Kleine Nelkenstraße,7,Hausen,410,7.58,7,Bockenheim,11.0,60488,Kleine Nelkenstraße 60488 Frankfurt,50.1340862,8.6260726,highway,way,Kleine_Nelkenstrasse,Kleine Nelkenstrasse,Kleine_Nelkenstrasse_60488.jpeg,1
3498,Chlodwig-Poth-Anlage,6,Sossenheim,632,6.54,6C,Höchst,17.0,65936,Chlodwig-Poth-Anlage 65936 Frankfurt,50.113488,8.57007989106094,leisure,way,Chlodwig-Poth-Anlage,Chlodwig-Poth-Anlage,Chlodwig-Poth-Anlage_65936.jpeg,1
1520,Kurmainzer Straße,6,Höchst,580,6.45,6C,Höchst,17.0,65929,Kurmainzer Straße 65929 Frankfurt,50.1092091,8.5514816,highway,way,Kurmainzer_Strasse,Kurmainzer Strasse,Kurmainzer_Strasse_65929.jpeg,1
1778,Neue Mainzer Straße,1,Innenstadt,50,1.02,1,Ost,1.0,60313,Neue Mainzer Straße 60313 Frankfurt,50.1141582,8.6722704,highway,way,Neue_Mainzer_Strasse,Neue Mainzer Strasse,Neue_Mainzer_Strasse_60313.jpeg,1
1154,Hermesweg,3,Nordend-Ost,130,3.2,3,Ost,3.0,60316,Hermesweg 60316 Frankfurt,50.1181174,8.6931804,highway,way,Hermesweg,Hermesweg,Hermesweg_60316.jpeg,1
1169,Hildburghäuser Weg,6,Zeilsheim,611,6.49,6B,Höchst,17.0,65931,Hildburghäuser Weg 65931 Frankfurt,50.0969326,8.4990575,highway,way,Hildburghaeuser_Weg,Hildburghaeuser Weg,Hildburghaeuser_Weg_65931.jpeg,1
2969,Zum Eiskeller,6,Schwanheim,532,6.37,6A,Sachsenhausen,10.0,60529,Zum Eiskeller 60529 Frankfurt,50.0782764,8.6024194,highway,way,Zum_Eiskeller,Zum Eiskeller,Zum_Eiskeller_60529.jpeg,1
1162,Hesselbergweg,6,Zeilsheim,604,6.49,6B,Höchst,17.0,65931,Hesselbergweg 65931 Frankfurt,50.0991212,8.5079614,highway,way,Hesselbergweg,Hesselbergweg,Hesselbergweg_65931.jpeg,1
1947,Preungesheimer Straße,4,Bornheim,272,4.22,4,Ost,6.0,60389,Preungesheimer Straße 60389 Frankfurt,50.1343855,8.7080851,highway,way,Preungesheimer_Strasse,Preungesheimer Strasse,Preungesheimer_Strasse_60389.jpeg,1
1650,Mainzer Landstraße,2,Westend-Süd,100,2.11,2,Bockenheim,13.0,60325,Mainzer Landstraße 60325 Frankfurt,50.1111157,8.6646562,highway,way,Mainzer_Landstrasse,Mainzer Landstrasse,Mainzer_Landstrasse_60325.jpeg,1
1168,Heylstraße,9,Eschersheim,452,9.66,9,Dornbusch,12.0,60431,Heylstraße 60431 Frankfurt,50.151134,8.658087,highway,way,Heylstrasse,Heylstrasse,Heylstrasse_60431.jpeg,1
1236,Hugo-Wolf-Straße,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,60529,Hugo-Wolf-Straße 60529 Frankfurt,50.0844154,8.5865045,highway,way,Hugo-Wolf-Strasse,Hugo-Wolf-Strasse,Hugo-Wolf-Strasse_60529.jpeg,1
2893,Krummauer Straße,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Krummauer Straße 60388 Frankfurt,50.1475843,8.7580046,highway,way,Krummauer_Strasse,Krummauer Strasse,Krummauer_Strasse_60388.jpeg,1
2438,Walter-Kolb-Straße,5,Sachsenhausen-N.,300,5.31,5A,Sachsenhausen,8.0,60594,Walter-Kolb-Straße 60594 Frankfurt,50.1050459,8.6841484,amenity,node,Walter-Kolb-Strasse,Walter-Kolb-Strasse,Walter-Kolb-Strasse_60594.jpeg,1
1227,Hostatostraße,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Hostatostraße 65929 Frankfurt,50.09994,8.5418441,highway,way,Hostatostrasse,Hostatostrasse,Hostatostrasse_65929.jpeg,1
2306,Stiftstraße,1,Innenstadt,60,1.02,1,Ost,1.0,60313,Stiftstraße 60313 Frankfurt,50.1154928,8.6825552,highway,way,Stiftstrasse,Stiftstrasse,Stiftstrasse_60313.jpeg,1
2222,Selma-Lagerlöf-Straße,9,Ginnheim,441,9.67,9,Nord,12.0,60431,Selma-Lagerlöf-Straße 60431 Frankfurt,50.1447697,8.6612338,highway,way,Selma-Lagerloef-Strasse,Selma-Lagerloef-Strasse,Selma-Lagerloef-Strasse_60431.jpeg,1
2863,Bruderhofstraße,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Bruderhofstraße 60388 Frankfurt,50.1506118,8.7561147,highway,way,Bruderhofstrasse,Bruderhofstrasse,Bruderhofstrasse_60388.jpeg,1
2761,Berner Straße,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Berner Straße 60437 Frankfurt,50.1919221,8.6664441,highway,way,Berner_Strasse,Berner Strasse,Berner_Strasse_60437.jpeg,1
3685,August-Laubenheimer-Straße,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,65929,August-Laubenheimer-Straße 65929 Frankfurt,50.0924007,8.5495078,highway,way,August-Laubenheimer-Strasse,August-Laubenheimer-Strasse,August-Laubenheimer-Strasse_65929.jpeg,1
1787,Neuhofstraße,3,Nordend-West,211,3.19,3,Ost,3.0,60318,Neuhofstraße 60318 Frankfurt,50.1259412,8.6905039,highway,way,Neuhofstrasse,Neuhofstrasse,Neuhofstrasse_60318.jpeg,1
1551,Launitzstraße,5,Sachsenhausen-N.,324,5.32,5A,Sachsenhausen,8.0,60594,Launitzstraße 60594 Frankfurt,50.1025247,8.6833215,highway,way,Launitzstrasse,Launitzstrasse,Launitzstrasse_60594.jpeg,1
3161,Wallfahrtsweg,11,Seckbach,390,11.75,11,Ost,6.0,60389,Wallfahrtsweg 60389 Frankfurt,50.1485305,8.7388334,highway,way,Wallfahrtsweg,Wallfahrtsweg,Wallfahrtsweg_60389.jpeg,1
2698,Neugasse,12,Kalbach-Riedberg,650,12.79,12,Nord,14.0,60437,Neugasse 60437 Frankfurt,50.1889855,8.638435,highway,way,Neugasse,Neugasse,Neugasse_60437.jpeg,1
661,Dottenfeldstraße,6,Sossenheim,632,6.54,6C,Höchst,17.0,65936,Dottenfeldstraße 65936 Frankfurt,50.1192112,8.5675316,highway,way,Dottenfeldstrasse,Dottenfeldstrasse,Dottenfeldstrasse_65936.jpeg,1
2905,Rangenbergstraße,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Rangenbergstraße 60388 Frankfurt,50.1499677,8.7598387,highway,way,Rangenbergstrasse,Rangenbergstrasse,Rangenbergstrasse_60388.jpeg,1
3258,Golub-Lebedenko-Platz,1,Gallus,153,1.05,1,Gallus,4.0,60326,Golub-Lebedenko-Platz 60326 Frankfurt,50.101151,8.6395118,highway,way,Golub-Lebedenko-Platz,Golub-Lebedenko-Platz,Golub-Lebedenko-Platz_60326.jpeg,1
2121,Schichaustraße,4,Ostend,261,4.27,4,Ost,5.0,60314,Schichaustraße 60314 Frankfurt,50.1119178,8.7041775,highway,way,Schichaustrasse,Schichaustrasse,Schichaustrasse_60314.jpeg,1
2057,Rotlintstraße,3,Nordend-Ost,222,3.18,3,Ost,6.0,60389,Rotlintstraße 60389 Frankfurt,50.1317391,8.6965574,highway,way,Rotlintstrasse,Rotlintstrasse,Rotlintstrasse_60389.jpeg,1
1073,Hanauer Landstraße,4,Ostend,140,4.26,4,Ost,5.0,60314,Hanauer Landstraße 60314 Frankfurt,50.1114604,8.7117853,highway,way,Hanauer_Landstrasse,Hanauer Landstrasse,Hanauer_Landstrasse_60314.jpeg,1
423,Biebergasse,1,Innenstadt,50,1.02,1,Ost,1.0,60313,Biebergasse 60313 Frankfurt,50.1141435,8.6771737,amenity,node,Biebergasse,Biebergasse,Biebergasse_60313.jpeg,1
1314,Jahnstraße,3,Nordend-West,120,3.21,3,Ost,3.0,60318,Jahnstraße 60318 Frankfurt,50.1204521,8.6828591,amenity,node,Jahnstrasse,Jahnstrasse,Jahnstrasse_60318.jpeg,1
518,Brüningstraße,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Brüningstraße 65929 Frankfurt,50.0975652,8.5434644,highway,way,Brueningstrasse,Brueningstrasse,Brueningstrasse_65929.jpeg,1
2590,Römerstadtsteg,8,Heddernheim,432,8.62,8,Nord,14.0,60439,Römerstadtsteg 60439 Frankfurt,50.1559263,8.6344592,highway,way,Roemerstadtsteg,Roemerstadtsteg,Roemerstadtsteg_60439.jpeg,1
1956,Radilostraße,7,Rödelheim,402,7.56,7,Bockenheim,11.0,60489,Radilostraße 60489 Frankfurt,50.1239889,8.6079655,amenity,node,Radilostrasse,Radilostrasse,Radilostrasse_60489.jpeg,1
2639,Am Buchbaum,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Am Buchbaum 60437 Frankfurt,50.2005483,8.7160369,highway,way,Am_Buchbaum,Am Buchbaum,Am_Buchbaum_60437.jpeg,1
164,Am Riederbruch,11,Riederwald,262,11.76,11,Ost,18.0,60386,Am Riederbruch 60386 Frankfurt,50.125941,8.7249403,highway,way,Am_Riederbruch,Am Riederbruch,Am_Riederbruch_60386.jpeg,1
766,Eysseneckstraße,3,Nordend-West,203,3.16,3,Dornbusch,3.0,60322,Eysseneckstraße 60322 Frankfurt,50.1272917,8.6770811,highway,way,Eysseneckstrasse,Eysseneckstrasse,Eysseneckstrasse_60322.jpeg,1
2649,Erlenbacher Stadtweg,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Erlenbacher Stadtweg 60437 Frankfurt,50.1857553,8.6871057,highway,way,Erlenbacher_Stadtweg,Erlenbacher Stadtweg,Erlenbacher_Stadtweg_60437.jpeg,1
2326,Tarnowitzer Straße,6,Griesheim,552,6.41,6A,Gallus,16.0,65933,Tarnowitzer Straße 65933 Frankfurt,50.1039821,8.5919109,highway,way,Tarnowitzer_Strasse,Tarnowitzer Strasse,Tarnowitzer_Strasse_65933.jpeg,1
3219,Propst-Goebels-Weg,11,Seckbach,390,11.75,11,Ost,6.0,60389,Propst-Goebels-Weg 60389 Frankfurt,50.143345,8.7236239,highway,way,Propst-Goebels-Weg,Propst-Goebels-Weg,Propst-Goebels-Weg_60389.jpeg,1
2535,Wittelsbacherallee,4,Ostend,252,4.25,4,Ost,5.0,60385,Wittelsbacherallee 60385 Frankfurt,50.1259534,8.7161864,amenity,node,Wittelsbacherallee,Wittelsbacherallee,Wittelsbacherallee_60385.jpeg,1
2245,Sömmerringstraße,3,Nordend-West,201,3.21,3,Dornbusch,3.0,60322,Sömmerringstraße 60322 Frankfurt,50.1238222,8.6811347,highway,way,Soemmerringstrasse,Soemmerringstrasse,Soemmerringstrasse_60322.jpeg,1
1628,Ludwigstraße,1,Gallus,152,1.06,1,Gallus,4.0,60327,Ludwigstraße 60327 Frankfurt,50.1073965,8.6591901,highway,way,Ludwigstrasse,Ludwigstrasse,Ludwigstrasse_60327.jpeg,1
2107,Schalkwiesenweg,7,Praunheim,424,7.6,7,Bockenheim,14.0,60488,Schalkwiesenweg 60488 Frankfurt,50.1408457,8.626226,highway,way,Schalkwiesenweg,Schalkwiesenweg,Schalkwiesenweg_60488.jpeg,1
313,Aussiger Straße,5,Sachsenhausen-S.,326,5.34,5A,Sachsenhausen,8.0,60598,Aussiger Straße 60598 Frankfurt,50.08682225,8.670719777783862,highway,way,Aussiger_Strasse,Aussiger Strasse,Aussiger_Strasse_60598.jpeg,1
3321,Polizeimeister-Kaspar-Straße,3,Nordend-West,202,3.16,3,Dornbusch,12.0,60320,Polizeimeister-Kaspar-Straße 60320 Frankfurt,50.1334732,8.6726236,highway,way,Polizeimeister-Kaspar-Strasse,Polizeimeister-Kaspar-Strasse,Polizeimeister-Kaspar-Strasse_60320.jpeg,1
2199,Schwarzwaldstraße,5,Niederrad,371,5.35,5B,Sachsenhausen,10.0,60528,Schwarzwaldstraße 60528 Frankfurt,50.0830427,8.6512631,amenity,node,Schwarzwaldstrasse,Schwarzwaldstrasse,Schwarzwaldstrasse_60528.jpeg,1
1187,Höchster Schloßplatz,6,Höchst,580,6.45,6C,Höchst,17.0,65929,Höchster Schloßplatz 65929 Frankfurt,50.09863445,8.547601305008712,highway,way,Hoechster_Schlossplatz,Hoechster Schlossplatz,Hoechster_Schlossplatz_65929.jpeg,1
2982,Am Lohwald,7,Hausen,410,7.58,7,Bockenheim,11.0,60488,Am Lohwald 60488 Frankfurt,50.1390283,8.6253006,highway,way,Am_Lohwald,Am Lohwald,Am_Lohwald_60488.jpeg,1
3618,Jakob-Quirin-Weg,14,Harheim,660,14.81,14,Nord,14.0,60437,Jakob-Quirin-Weg 60437 Frankfurt,50.1850711,8.6864204,highway,way,Jakob-Quirin-Weg,Jakob-Quirin-Weg,Jakob-Quirin-Weg_60437.jpeg,1
2703,Wirschelweg,12,Kalbach-Riedberg,650,12.79,12,Nord,14.0,60437,Wirschelweg 60437 Frankfurt,50.1879565,8.6332899,highway,way,Wirschelweg,Wirschelweg,Wirschelweg_60437.jpeg,1
920,Georg-Voigt-Straße,2,Westend-Süd,170,2.11,2,Bockenheim,13.0,60325,Georg-Voigt-Straße 60325 Frankfurt,50.1148042,8.6514579,highway,way,Georg-Voigt-Strasse,Georg-Voigt-Strasse,Georg-Voigt-Strasse_60325.jpeg,1
1579,Licher Straße,3,Nordend-Ost,222,3.18,3,Ost,6.0,60389,Licher Straße 60389 Frankfurt,50.1319818,8.7004757,highway,way,Licher_Strasse,Licher Strasse,Licher_Strasse_60389.jpeg,1
1144,Herbert-Boehm-Straße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Herbert-Boehm-Straße 60528 Frankfurt,50.0819198,8.6432441,highway,way,Herbert-Boehm-Strasse,Herbert-Boehm-Strasse,Herbert-Boehm-Strasse_60528.jpeg,1
1042,Händelstraße,3,Nordend-West,212,3.17,3,Ost,3.0,60318,Händelstraße 60318 Frankfurt,50.1310448,8.6860166,highway,way,Haendelstrasse,Haendelstrasse,Haendelstrasse_60318.jpeg,1
606,Corneliusstraße,2,Westend-Süd,170,2.11,2,Bockenheim,13.0,60325,Corneliusstraße 60325 Frankfurt,50.1162716,8.6598015,highway,way,Corneliusstrasse,Corneliusstrasse,Corneliusstrasse_60325.jpeg,1
